applicant_id,age,credit_history,loan_amount,employment_years,installment_rate,housing,existing_credits,job_type,credit_risk
A121,25,delayed previously,4386,12,3,rent,3,unskilled,good
A122,61,existing paid,6984,8,1,rent,4,management,good
A123,33,all paid,10446,11,2,rent,3,skilled,good
A124,59,delayed previously,11089,1,4,own,3,skilled,good
A125,37,all paid,5852,13,2,own,3,management,bad
A126,35,delayed previously,14011,15,3,own,4,unskilled,good
A127,33,delayed previously,14592,12,1,free,1,management,bad
A128,48,critical/other,6538,8,3,own,2,self-employed,good
A129,75,all paid,9698,10,1,rent,4,management,bad
A130,26,existing paid,2790,1,3,free,1,unskilled,good
A131,53,critical/other,2722,12,3,rent,4,skilled,bad
A132,60,critical/other,2122,15,3,own,3,skilled,good
A133,34,existing paid,14515,11,3,rent,3,unskilled,good
A134,31,existing paid,2501,14,2,rent,1,unskilled,good
A135,34,all paid,2563,18,1,rent,2,skilled,good
A136,33,existing paid,5883,4,3,own,2,management,good
A137,26,all paid,11330,0,1,free,2,management,good
A138,35,critical/other,1358,4,1,rent,1,self-employed,bad
A139,42,existing paid,8908,18,4,rent,2,unskilled,good
A140,74,delayed previously,11295,16,4,rent,1,unskilled,good
A141,73,existing paid,7080,13,4,rent,4,unskilled,good
A142,39,existing paid,10466,4,2,free,3,self-employed,good
A143,52,critical/other,5331,14,1,rent,1,skilled,good
A144,75,delayed previously,4243,13,4,free,4,unskilled,good
A145,39,delayed previously,11397,8,2,rent,4,unskilled,good
A146,24,existing paid,2027,13,3,own,1,management,bad
A147,45,existing paid,6293,13,3,rent,3,management,good
A148,51,critical/other,3985,4,2,own,3,management,bad
A149,36,critical/other,9906,7,1,rent,3,unskilled,bad
A150,63,delayed previously,12991,9,3,own,2,skilled,bad
