transaction_id,amount,merchant_category,hour_of_day,day_of_week,distance_from_home,num_transactions_24h,account_age_months,avg_transaction_amount,is_foreign,is_fraud
T0041,370.59,travel,0,1,2.39,2,64,191.07,0,0
T0042,391.71,online,4,5,14.42,2,100,175.96,0,0
T0043,59.91,pharmacy,13,2,18.0,3,68,22.14,0,0
T0044,288.75,electronics,11,0,1.54,4,64,173.28,0,0
T0045,79.5,restaurant,23,4,15.47,1,1,18.37,0,0
T0046,123.03,restaurant,5,6,9.44,4,5,115.04,0,0
T0047,370.59,restaurant,13,5,8.39,3,41,61.54,0,0
T0048,4236.85,restaurant,16,0,300.82,10,52,23.1,1,1
T0049,141.87,grocery,17,3,16.9,3,2,80.09,0,0
T0050,392.47,gas_station,11,4,14.79,2,64,199.58,0,0
T0051,366.5,restaurant,0,3,10.93,2,4,54.27,0,0
T0052,419.95,grocery,21,3,17.54,3,109,150.24,0,0
T0053,103.39,gas_station,1,1,19.66,4,92,63.17,0,0
T0054,3388.84,gas_station,23,0,438.2,16,75,28.16,1,1
T0055,6919.78,travel,4,1,129.93,18,38,59.59,1,1
T0056,400.61,online,14,2,14.01,3,30,24.19,0,0
T0057,390.19,grocery,5,3,11.69,2,60,69.67,0,0
T0058,4149.72,online,3,0,408.13,19,21,163.44,1,1
T0059,352.65,pharmacy,10,1,12.07,2,12,145.12,0,0
T0060,198.73,online,5,0,0.98,3,52,172.37,0,0
T0061,275.51,pharmacy,4,0,1.89,1,2,21.72,0,0
T0062,111.92,online,21,5,3.96,4,83,25.97,0,0
T0063,458.8,restaurant,20,3,1.5,1,104,34.47,0,0
T0064,414.85,gas_station,1,1,6.63,1,119,119.04,0,0
T0065,198.1,restaurant,11,1,0.59,4,117,45.56,0,0
T0066,441.83,travel,9,3,0.69,2,53,177.73,0,0
T0067,44.77,restaurant,20,6,7.66,4,68,57.34,0,0
T0068,272.28,pharmacy,22,2,0.39,4,62,113.46,0,0
T0069,456.43,online,5,0,10.05,4,41,123.45,0,0
T0070,6864.14,electronics,11,6,212.37,20,75,199.93,1,1
T0071,50.97,electronics,23,0,13.14,3,98,199.31,0,0
T0072,423.41,pharmacy,5,1,15.95,3,31,122.58,0,0
T0073,349.12,travel,22,2,18.28,1,73,117.09,0,0
T0074,94.93,electronics,9,1,19.76,4,63,17.21,0,0
T0075,5609.98,electronics,6,6,107.97,15,17,74.74,1,1
T0076,401.41,grocery,4,4,17.36,1,91,184.27,0,0
T0077,423.39,online,22,5,17.21,1,51,121.34,0,0
T0078,161.98,pharmacy,20,3,19.52,4,84,70.28,0,0
T0079,281.43,restaurant,21,4,17.79,3,105,43.32,0,0
T0080,344.56,travel,18,3,2.55,1,109,198.91,0,0
T0081,17.16,travel,18,0,12.05,2,120,104.28,0,0
T0082,39.83,restaurant,20,0,6.94,3,106,144.7,0,0
T0083,443.44,restaurant,7,5,8.93,3,9,76.59,0,0
T0084,360.49,travel,13,1,0.96,4,114,88.66,0,0
T0085,176.26,pharmacy,18,5,7.51,4,98,140.56,0,0
T0086,37.78,grocery,10,2,16.92,3,14,24.1,0,0
T0087,188.35,online,19,4,14.64,1,115,101.72,0,0
T0088,7654.65,grocery,3,2,166.0,10,27,195.14,1,1
T0089,277.5,travel,9,2,18.51,3,31,28.22,0,0
T0090,275.28,online,0,3,9.82,1,12,65.96,0,0
T0091,300.51,restaurant,5,5,3.99,1,38,195.64,0,0
T0092,58.64,gas_station,21,2,15.7,4,12,131.95,0,0
T0093,186.14,gas_station,1,2,7.63,2,57,98.36,0,0
T0094,135.01,grocery,21,2,1.23,1,104,112.88,0,0
T0095,295.27,pharmacy,16,3,11.07,4,69,140.54,0,0
T0096,286.78,grocery,12,6,4.71,3,92,16.6,0,0
T0097,258.89,grocery,14,1,11.43,2,22,194.71,0,0
T0098,63.97,restaurant,20,1,8.47,4,107,123.06,0,0
T0099,363.82,gas_station,17,3,16.15,1,71,71.96,0,0
T0100,229.62,grocery,13,1,17.47,4,19,117.65,0,0
T0101,482.45,electronics,3,6,2.0,1,37,174.82,0,0
T0102,439.07,electronics,19,3,5.28,4,5,42.72,0,0
T0103,309.5,grocery,12,2,13.62,4,89,55.14,0,0
T0104,460.5,online,9,2,17.94,1,36,170.14,0,0
T0105,342.74,restaurant,9,5,19.45,2,57,157.07,0,0
T0106,364.67,restaurant,14,1,12.1,1,117,166.55,0,0
T0107,379.99,electronics,5,0,17.34,1,40,144.82,0,0
T0108,390.48,restaurant,6,6,10.49,1,26,169.03,0,0
T0109,228.77,online,11,6,18.36,2,60,105.97,0,0
T0110,62.81,gas_station,19,3,0.61,3,23,192.5,0,0
T0111,276.12,travel,22,0,6.88,3,37,15.22,0,0
T0112,7122.93,travel,7,5,411.93,12,27,61.13,0,1
T0113,11.01,gas_station,4,5,15.61,1,23,124.22,0,0
T0114,3514.34,gas_station,12,6,422.03,13,45,97.21,0,1
T0115,151.77,electronics,3,0,10.41,4,66,199.89,0,0
T0116,419.85,online,21,0,11.23,3,62,22.13,0,0
T0117,320.66,travel,22,5,17.23,3,39,45.79,0,0
T0118,120.91,travel,10,5,1.14,4,18,147.04,0,0
T0119,498.74,gas_station,12,5,5.19,4,5,120.77,0,0
T0120,408.19,travel,17,5,6.86,2,101,100.39,0,0
T0121,179.89,pharmacy,21,4,6.0,2,24,65.82,0,0
T0122,370.72,travel,10,5,14.5,2,12,52.23,0,0
T0123,435.84,online,8,4,8.41,3,38,98.11,0,0
T0124,2322.06,gas_station,6,4,353.76,7,16,174.82,1,1
T0125,149.88,restaurant,6,2,1.08,2,53,197.57,0,0
T0126,493.34,pharmacy,2,3,2.86,2,43,129.9,0,0
T0127,317.61,restaurant,5,4,0.09,3,98,40.1,0,0
T0128,390.1,travel,13,3,2.59,4,55,193.41,0,0
T0129,19.82,grocery,10,6,3.99,3,107,110.9,0,0
T0130,2024.74,online,4,0,393.44,16,50,105.63,0,1
T0131,33.58,gas_station,23,4,0.91,3,77,109.58,0,0
T0132,343.7,online,6,1,2.68,4,117,184.46,0,0
T0133,114.98,restaurant,23,0,14.54,2,76,105.88,0,0
T0134,6266.66,pharmacy,17,4,416.85,13,7,122.85,0,1
T0135,2648.68,gas_station,14,3,434.45,8,16,113.98,0,1
T0136,77.41,online,13,5,13.9,1,13,135.87,0,0
T0137,303.21,electronics,23,4,2.74,1,16,63.71,0,0
T0138,249.37,pharmacy,16,1,12.18,3,46,143.65,0,0
T0139,20.66,travel,15,2,9.93,2,31,10.52,0,0
T0140,453.53,restaurant,2,6,16.7,4,66,24.26,0,0
T0141,452.48,online,8,3,12.89,4,7,28.96,0,0
T0142,20.68,gas_station,23,0,5.81,3,13,171.74,0,0
T0143,5.83,online,11,3,2.77,2,80,60.98,0,0
T0144,186.94,gas_station,12,3,6.85,1,35,168.78,0,0
T0145,239.64,grocery,4,5,8.43,2,93,21.14,0,0
T0146,80.54,pharmacy,18,5,8.32,4,57,44.44,0,0
T0147,179.94,gas_station,15,0,0.58,2,114,88.14,0,0
T0148,3569.68,travel,10,4,225.7,12,67,140.77,1,1
T0149,216.99,online,21,5,14.53,4,83,83.13,0,0
T0150,279.61,grocery,20,1,19.76,1,65,171.28,0,0
