loan_id,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,education,default
L117,117157,14563,458,149,7,7.4,36,0.26,master,0
L118,50149,29893,741,168,6,6.9,60,0.6,phd,0
L119,80401,16025,825,140,8,5.8,24,0.58,high_school,0
L120,129978,9871,792,36,4,4.0,36,0.13,high_school,1
L121,48668,38143,683,171,8,12.9,24,0.32,high_school,0
L122,89758,41152,660,71,5,3.3,60,0.11,bachelor,0
L123,34026,11312,718,135,5,15.2,48,0.19,phd,0
L124,30357,29448,657,179,4,7.5,24,0.38,high_school,0
L125,32255,31560,644,164,1,13.5,24,0.33,phd,0
L126,130799,33436,780,25,1,6.4,60,0.57,master,0
L127,26102,9872,800,145,1,5.7,48,0.66,high_school,0
L128,146021,18576,750,102,2,7.5,36,0.19,phd,0
L129,108740,40426,619,177,2,10.5,48,0.33,high_school,0
L130,32803,33645,568,88,7,17.5,48,0.6,high_school,1
L131,103115,22912,680,97,7,5.8,60,0.39,high_school,0
L132,121209,45541,601,22,5,5.3,36,0.58,phd,0
L133,61507,28638,504,114,6,14.4,24,0.15,bachelor,0
L134,31442,17280,670,105,2,3.4,48,0.37,high_school,0
L135,98240,44193,616,106,7,14.7,36,0.62,bachelor,1
L136,109825,29951,536,127,3,3.9,60,0.18,master,0
L137,75194,24644,697,64,8,11.9,36,0.57,phd,0
L138,34021,13879,605,159,7,15.1,48,0.1,phd,0
L139,63874,33220,783,83,4,10.2,36,0.68,phd,1
L140,146972,25915,599,163,8,17.5,36,0.54,master,1
L141,69290,23369,651,52,3,13.2,24,0.32,phd,0
L142,143597,51423,557,178,2,15.3,60,0.36,phd,0
L143,38242,46506,605,109,7,4.1,60,0.25,phd,0
L144,90040,38201,804,93,2,4.6,36,0.35,master,1
L145,41802,47401,763,174,7,17.5,48,0.13,phd,0
L146,33886,5691,500,133,4,9.7,60,0.26,phd,0
L147,121232,49535,751,7,8,4.6,60,0.51,high_school,0
L148,35213,59481,823,117,4,10.8,48,0.19,phd,0
L149,32795,33715,819,77,1,15.2,24,0.52,high_school,0
L150,131303,27483,781,63,3,11.3,48,0.17,phd,0
